userName,score,content,at
Mohammad Hasan Shab Angiz,5,Now I can spend my dead time more useful.,2026-02-14 15:53:21
sam carpenter,5,this is an excellent app to learn Spanish quickly,2026-02-14 15:52:58
Ropafadzo Zhakata,5,a wonderful experience,2026-02-14 15:52:55
fereshte MZ,5,very good and complete app,2026-02-14 15:51:05
Mona Almachi,5,parfait duolingo,2026-02-14 15:49:47
Chinshay Gogoi,5,best app for learning any language and chess,2026-02-14 15:49:44
Kate Peirce,5,I love duolingo it teaches me so much chess I love ITTT ❤️ 😍 💖 ❣️ 💕 💘 ❤️,2026-02-14 15:48:34
Simon Akwetey-Asa Addo,5,I love Duolingo. I wish I had seen this app earlier. I will recommend it to as many people as I can.,2026-02-14 15:47:55
King Khan,5,nice learning app,2026-02-14 15:47:10
Omid Elyasi,5,ok,2026-02-14 15:47:09
Jess rey Capin,5,verry good,2026-02-14 15:46:51
Palak Dave,4,Very good for learning english,2026-02-14 15:46:39
Taisia R,1,"None of speech exercises work, the microphone won't stay on long enough, so I can't practice my pronunciation at all now. What happened? Could you please sort as soon as possible? I've already reinstalled the app and checked all permissions, so it must be the last but one update and the latest update hasn't sorted it..",2026-02-14 15:45:54
Wafa Rajpoot,5,love it so much learn every language over there ❤️,2026-02-14 15:45:17
Komal Yadav,5,so very smart app,2026-02-14 15:45:02
Graphical printing,5,good for bigners,2026-02-14 15:44:53
Ashok Chawariya,5,Nice 💯 🙂,2026-02-14 15:44:46
Abhay Maurya,5,nice bahut achha sikhane ko mil raha hai,2026-02-14 15:44:00
Chelsea R,2,"The new speaking flashcard exercises are terrible. It's a total crapshoot whether it's going to count your pronunciation right or wrong, and it counts towards your overall percentage total. To force them to not appear, you have to opt out of all speaking exercises in each lesson individually. These should not have been deployed with such terrible pronunciation detection. It also took a very long time for them to provide proper grammar explanations to everyone; only the highest paying got it then",2026-02-14 15:43:40
Sunanda Roy,5,I love it ❤️,2026-02-14 15:43:20
Mamta Singla,5,it is very good 👍👍👍👍👍,2026-02-14 15:42:22
vipan sharma,5,Very good app,2026-02-14 15:41:03
Mikayıl İsmayılov,4,ADD GEORGIAN LANGUAGE PLEASE,2026-02-14 15:40:35
李青昊,4,"after update,my double or triple experience active time was deducted and finished unknowingly.",2026-02-14 15:40:32
Varsha Suryavanshi,4,it so easy to learn any language and it's fun 😊,2026-02-14 15:39:46
Sipra Acharjee,5,which is the best app ever literally there is a new upgrade that you can also play chess it is literally I have been such upgraded by this Duolingo such good and you can also practice chess for free....✨✨,2026-02-14 15:38:48
Tania Filon,5,I love it.the only thing that the app looks like something happened to duo like did duo turn into slime.sorry Duolingo I said that.duo is super cute but please tell me what happened to duo because duo is so cute please fix him with something because he is too popular to be like that.please save him.,2026-02-14 15:38:39
Melanie Gonzalez,5,it's a really good app to help you get started on your languages,2026-02-14 15:37:11
ougdii Ougdii,5,Nice loadout well played 👍,2026-02-14 15:37:00
C_h_e_r_r_y,5,✨️If your looking forward to learning Chess and other Launguges! this is the perfect app. You can challenge people in chess and there's math and piano! this is a wonderful app. I personally love it and I hope you will to! 5 star rating✨️,2026-02-14 15:36:28
mithayway mithayway,5,it's fun.,2026-02-14 15:36:26
Dev Neupane,5,very good for learning languages 😄😃,2026-02-14 15:36:05
Jivesh Gautam,5,thank you,2026-02-14 15:36:03
sandya Talla,4,good super👍👍💥,2026-02-14 15:35:42
Blue White,5,very helpful app,2026-02-14 15:35:29
Ethan Morrison,5,"Despite what I've heard, duolingo is actually pretty useful. It's easy to pick up, and I genuinely have fun while learning!",2026-02-14 15:35:05
austin highfill,5,makes learning I'm new language super easy. highly recommend,2026-02-14 15:35:02
Md Jinan,5,so good,2026-02-14 15:34:30
Sujit Sahani,5,bhai sahab Ko download kar Lo Tumko khelne mein aur padhne mein maja aaega bhai,2026-02-14 15:34:06
Rya Arifin,5,Make learning other languaes fun and easy,2026-02-14 15:33:42
Avery,5,it helps me play chest 😊😊😊😊😊😊😊😊💤😊💤😍😍. easy 😉,2026-02-14 15:33:22
Mayank,2,i don't like the app it decent for vocab but if you think that you can learn languages it a joke they teach you in isolation and bookish words which does not work in real life,2026-02-14 15:33:19
Cyril Andre,1,this app is good but when i reached day 50-60. I did my duo and then I started from day 1 😡,2026-02-14 15:32:59
arqavan mollazadeh,5,it is perfect! learned everything from here,2026-02-14 15:32:00
Ujjalkanti Chakma,4,perfection of Japanese,2026-02-14 15:28:33
China Pacheco,5,love doing this everyday,2026-02-14 15:27:29
Cat Olaitan,3,It's fun in the start but one's you run out of energy or something you continue if you don't have duolingo unlimited..,2026-02-14 15:25:31
Ramani Sathiyaraj,5,it's a useful app,2026-02-14 15:24:37
Jon Doe,1,"The're maybe other learning apps, but this one is almost guaranteed to crash. I've spent too much time using this app. I have made zero percent progress in the last two months, I feel nothing but despair. Now that energy has replaced hearts, not making progress is pay to play.",2026-02-14 15:24:32
Karen Lumi,1,"Favoritism among languages, certain languages will have better more fun and engaging lessons, while others are left to rot. Ads about Duo plus after every lesson, you could probably remember the ad word for word. Want to get rid of said ads? Pay up! They also want to use AI on the app which says a lot about the quality. Duolingo really thinks they are still the innovative language app it was when people could change this slop for a PDF on the net about said language, with more quality and no ads",2026-02-14 15:24:03
Rajesh Thakor,4,1 king,2026-02-14 15:23:57
أمل محمد,5,Omg it's soooo good I like it I was on a travel I saw Korean people and chat with them u should download it 😘 😘,2026-02-14 15:22:50
Sartaj Saifi,5,best learning app in the world,2026-02-14 15:22:42
Taha Mirzadeh,5,the best app to learn a new language i already know 3 languages from duolingo,2026-02-14 15:20:55
Vaishnavi N,4,just a Lil problem of those energy they get empty so fast nd u should buy them again or end ur practice,2026-02-14 15:20:00
Arpit Jangra,5,yeh bahut accha hai,2026-02-14 15:19:37
Zachary McKeown,5,"sooo helpful in learning a new language/languages, highly encouraged, makes learning so much fun with friends, quests, and more!",2026-02-14 15:19:15
Ornab Barua,5,সেরা সেরা সেরা ভাইয়ে সেরা ভাইয়ে,2026-02-14 15:17:48
Bhakti Manjarekar,5,This app is amazing and helps to understand and write everything.,2026-02-14 15:16:16
Faiqo Shaffan,4,this is the best app to learn languages 😁😁😁😁😊,2026-02-14 15:16:14
Hamid Ismael,5,this is education and game in the same taim Ilike it ⚘️❤️,2026-02-14 15:16:04
jerryco pablo,5,Easy learn of any languages,2026-02-14 15:13:30
مهند مهند,1,dude im never gonna play this game again it doesn't teach anything..,2026-02-14 15:13:28
Adrianne F. Hinds,5,I like that not only you learn new languages every day in dueling but also have fun in it.,2026-02-14 15:11:43
Bhavani Malluri,5,this teach me so much in 5 day so awesome 👍 I love it ♥️,2026-02-14 15:10:38
Mita Chakraborty,5,I love this because I wanted to learn Russian 🇷🇺🇷🇺🇷🇺👍👍👍👍👍😃😃😃😀😀😀,2026-02-14 15:09:29
Bob,1,STOP filling up my mail box with DAILY SPAM,2026-02-14 15:08:57
Thato Princess Mokgeledi,5,"it's a great app, doesn't have too many ads, just here and there. Super helpful",2026-02-14 15:08:47
Kent Velila,5,this app is useful,2026-02-14 15:07:21
Pratiksha Yadav,4,it's so good to practice languages here but what frustrates me is that the energy is limited and if I want to practice more in a day I need to waste my time on ads😞,2026-02-14 15:07:02
Pedro,5,first time I came back to an app,2026-02-14 15:06:38
Aman Kumar,5,language best learn app,2026-02-14 15:06:33
Sagar Muduli,5,👍,2026-02-14 15:06:08
MJ,5,nice app,2026-02-14 15:06:01
Donald Danielson,4,I abandoned Dulingo because it was boring but I just got back into it and you gotta play longer to have more fun deservse 4,2026-02-14 15:05:46
Rita Pradhan,5,"its all good to learn foreign languages but make or develope more languages the Indian languages bruuuh!!.As their 22 languages in India you make more please make it , I want to learn it as I'm from India.The app would get more better if their would be more languages except hindi ,english etc...",2026-02-14 15:05:45
Kaejon Sims,4,it's very good but the only confusion for me is that there's an accent I wish it could be in my voice,2026-02-14 15:05:30
Asrul Fadzil,5,I love it so much 😍💞💞💞💞😍💞😍💞😍💞😍😍💞💞😍😍😍 plaît ❤️❤️❤️❤️❤️❤️🌹,2026-02-14 15:05:20
Bidjed rma,5,افضل تطبيق لتعلم,2026-02-14 15:04:54
Marty,2,"The new energy system is awful. I use it way less often than I used to. There aren't many options to learn Welsh, so I still use it, but I'm switching to more offline practice",2026-02-14 15:04:42
Akanbi Aseyori,5,It a very interesting app to learn new languages. It set a goal for you which simply encourages you to want to achieve. It also keep streaks and I think you can interact with others or friends who are also on Duolingo.,2026-02-14 15:04:12
Seojun Cho,1,Duolingo has switched to using an insane amount of AI and allegedly firing workers and replacing them with AI. Uninstalled.,2026-02-14 15:03:46
Alyx,5,Yass it's slaying,2026-02-14 15:03:45
Prince Sathala,5,best i win chess,2026-02-14 14:59:46
Malika Marwan,5,love it,2026-02-14 14:59:02
Tanbir Khan,5,what a great application for learning new languages,2026-02-14 14:58:59
Elizabeth Gifty Ahorsu,5,"I think so far, this App is a nice and educative App.I love it",2026-02-14 14:58:53
Mr. Zahed,5,fine,2026-02-14 14:58:50
Shorifa Aktar,5,A Nice APP,2026-02-14 14:58:24
Jofina Mathews,5,nice,2026-02-14 14:58:22
hn Nizar,5,very funny and creative and good,2026-02-14 14:57:55
Alayna Marshall (Ally),3,"Is a good app but extremely annoying that monthly payments are only available for individual subscribers not the family, then only annual available.",2026-02-14 14:56:33
Parameshwanee Ernesan,4,good enough,2026-02-14 14:56:20
Koko Dodo,5,very perfect,2026-02-14 14:55:38
Mayank Sahu,4,Perfect but ads are annoying,2026-02-14 14:55:17
Hosein Razavi,5,I love this!,2026-02-14 14:54:58
J P,3,"the learning is fine. The speaking exercises are awful. no matter how correct I say things, it doesn't mark the word or it just says its wrong. the speaking exercises are garbage.",2026-02-14 14:52:04
Moona Shrestha,5,i like it but could you please add nepal bhasa from nepal,2026-02-14 14:51:39
Kenia Alvarenga,5,awesome! 👍😎😎,2026-02-14 14:51:31
Ravi Jatav,5,iska dp ka sticker sahi kro itna bekar lag rha,2026-02-14 14:50:54
Amrit Raj,5,this is a very very fantastic app if you have free time you can enjoy this app you can learn any language on this app and enjoy your free time in your productive time so enjoy and learn,2026-02-14 14:50:25
Philipp Hoffschröer,1,I am on a 500 days streak but I changed to the ling app long time ago to practice spanish. I am in Mexico right now and Duo just doesn't cover what's going on here plus their characters feel annoying. the chess integration helped them to keep me on the app. but the exercises are way too easy. then they introduced human games which I liked first but now I see that the lags are crazy (20 seconds per move). on the duo's time choice 10+0 this is too long and my rating went pretty south. adios!!,2026-02-14 14:50:12
Custom Trackmaster,5,the most app is Duolingo I love it my streak is 1000 I'll give Duolingo a 2000000000000000 ratings!,2026-02-14 14:50:01
Olyminia Malone,5,"I love it, I'm learning tonot only speak but read and write espanol.",2026-02-14 14:49:34
Loami Djemesi,4,Duolingo is so good if u want u learn a language,2026-02-14 14:49:01
Chanda,5,it has multiple languages and math and chess too it's a must try as long as you're connected to the internet 👍👍,2026-02-14 14:47:31
Uma Ir,4,duolingo is most specifically app but did n't have urdu language. so please add urdu language like simple indaian's and Pakistan + Roman urdu.,2026-02-14 14:47:15
Dihyat Rowhan,4,this app is just excellent as I wanted to learn Japanese it's helping me learn it very easily,2026-02-14 14:47:02
Zachery Cunningham,1,remove that ugly weird icon art make it normal again oh my god bruh i dont wanna see ts on my homescreen (or at LEAST let us disable it),2026-02-14 14:45:38
Shakti Yonjan,5,Best app,2026-02-14 14:43:48
Marija Curcic,5,I like learning finnish here :),2026-02-14 14:43:23
SGH S,5,Great app. love it.,2026-02-14 14:42:32
Londyn Smeltzer,5,"Duolingo is a fun, kid friendly, learning app I highly reccomend!!",2026-02-14 14:41:08
Musiimiseki Winfrey,5,It's the best choice for your improvement in or learning different languages,2026-02-14 14:39:45
Bereket Wubetu,5,i found it very helpful and interesting. What a platform to learn Spanish with much curiosity,2026-02-14 14:39:31
Miracle Alves,5,it's helping me so much and duo is so cute 🥰,2026-02-14 14:38:59
Rajesh S,5,super,2026-02-14 14:38:50
Chirag Dutta,1,I am going to puru so I don't time to play but dolingo reset my all day 100 Day to 1,2026-02-14 14:38:24
Thais,5,I think Duolingo is a really good app. I am learning 25 new French words in a week! Great app totally recommend.,2026-02-14 14:37:31
Anu priya Mallavarapu,4,worth it,2026-02-14 14:37:29
Tahmina Tahmina,5,"Duolingo is totally killing it! 😊 It's like the ultimate language learning app that's actually super fun and addictive, and it really helps you pick up new languages in no time!",2026-02-14 14:36:41
Rakkī Furinse Aurelio,5,amazing sigma boi,2026-02-14 14:35:07
Damien Mackinder,5,really enjoy learning at a pace that suits me,2026-02-14 14:34:32
Aziza Begum,5,",👍👍👍👍",2026-02-14 14:34:30
Shoaib Ahmed Malik,5,good learning aap,2026-02-14 14:34:06
Hiba Arain,5,Highly recommend,2026-02-14 14:33:57
Rupam Kumari,4,this is the best learning app,2026-02-14 14:33:57
Saaied Anouar,5,fantastic,2026-02-14 14:33:30
Tanuja Kaushle @gmail.com Jeetend,1,very bad All time asking for super,2026-02-14 14:33:20
Mohamed Ossama chelihi,5,افضل تطبيق تعلم,2026-02-14 14:32:24
Zoya Nagori,5,it's a very interesting app for me!,2026-02-14 14:31:39
Nimita,3,nice,2026-02-14 14:31:19
Nifemi Abioye,5,i love ittt,2026-02-14 14:30:28
Devin Hankins,5,I'm addicted to this app,2026-02-14 14:30:01
Kathy Cleek,5,Educational with good exercises. To help you figure this out.,2026-02-14 14:29:30
Preethi Riju,4,This app is good,2026-02-14 14:28:55
Sisi gigah,4,"I love this app so much, I don't even mind the ads. I just hope I'll be able to speak fluently in 1 year.",2026-02-14 14:27:43
Jill C,5,I love it! 🤩,2026-02-14 14:27:38
Deepak kumar,5,nice app,2026-02-14 14:26:47
SANTOSH BISHT,5,SUCH AN IMPRESSIVE APP I NEVER THINK OF JUSTTTT AMAZING 🔥❣,2026-02-14 14:26:04
Hadisa Khawari,1,Good good,2026-02-14 14:25:57
Sandhya Singh,5,just soooooo,2026-02-14 14:25:08
Koushar Khan,4,"this is a very useful app. This can improve your dream languages you want to learn, i should suggest you to give it a 5 star",2026-02-14 14:23:29
brian lane,5,I have little basis for comparison but I do like the owl.,2026-02-14 14:22:49
Monem Shahriar,1,worst app,2026-02-14 14:22:10
Anup Kumar,5,"Best for begginers and intermediates. People start to speak languages fluently and really good. Speaking, typing, and you can click the line under the word if you do not understand or forgot what it means.👌👌👍👍👏👏",2026-02-14 14:21:39
Farhad Sissing,5,Easy to learn from,2026-02-14 14:21:37
Kaif Chaudhary,5,Duolingo is an excellent application for learning and revising different languages. I have been learning English and chess for 18 months and I got positive results 😄👍,2026-02-14 14:18:11
Aslam uddin,1,good learning app,2026-02-14 14:18:03
rakesh chauhan,5,chess update is so good 👍,2026-02-14 14:16:09
Ibrahim Dawudu,5,The best app!!,2026-02-14 14:15:03
Saloma Samir,5,حلو,2026-02-14 14:14:53
Mali Parth,5,it's very good 😊😊😊😊,2026-02-14 14:14:14
Becca Duncan,4,I love learning but I do think the listening exercise doesn't pick up properly on the app. even though I say the words properly it isn't registering and says I got them wrong.,2026-02-14 14:13:43
Monusagar,5,cool,2026-02-14 14:12:28
Lokesh Dewangan,5,👍 nice,2026-02-14 14:12:21
Raja Haseb,5,very helpful,2026-02-14 14:10:03
Lingode kandaba,5,i thought it as fake at first now I'm acing it,2026-02-14 14:10:02
Genevive Lillian,1,𝐼 𝑙𝑜𝑣𝑒 𝑒𝑣𝑒𝑟𝑦𝑡ℎ𝑖𝑛𝑔 𝑎𝑏𝑜𝑢𝑡 𝑖𝑡,2026-02-14 14:09:40
ben kemla youssef,5,so good,2026-02-14 14:09:35
Zulfiqar Ali,1,logo is very bad and irritated,2026-02-14 14:09:27
Azzeddin Elmezzioui,5,Nice application,2026-02-14 14:09:21
Atinuke Borokini,4,AMAZING FOR MY CHILDREN,2026-02-14 14:09:06
Pankaj Thakur,5,very very beautiful app is app ki madad se bacche apni English ko bahut majbut banaa sakte hain to mere bacchon se yahi anurodh rahega ki vah Apne English strong banane ke liye Duolingo Duolingo app Ko download Karen jisse bacche English Sikh sakte hain yah app bahut jitna Lamba yah app aur yah app pahle se lekar dasvi aur barahvin Tak app mein banaa hai yah khas kar bacchon ke liye banaa hai taki bacche ise apni English ko majbut Karen aur apne jo bhi karya hai jo English mein jis bacche ko Eng,2026-02-14 14:08:39
Avelin Hogan,5,"I've been learning Spanish and Music and It's so fun , mostly Duolingo is like a game and I really had so much fun , thanks to Duolingo for making it free❤️❤️🙏",2026-02-14 14:08:30
Nandhini,5,I'm learning Hindi very fast and its easy for learning. duolingo is the bestest app . its also helpful for bignners....,2026-02-14 14:07:40
Vidhu Aneesh,4,I thought I'd be a normal student but it's my favorite 😀😀😃😃,2026-02-14 14:07:27
Vishnu Thakor,5,Mane Bahu maja Aayi,2026-02-14 14:06:55
Vundi venkataraju,5,it is a very good app for free access and in skills I learned chess in only 5 days,2026-02-14 14:06:07
Orhidea Bugujevci,5,This in my opinion is the best and most amazing experience to learn any language!!!!! :),2026-02-14 14:05:18
Mirza Zain,5,best learning app ❣️❣️❣️❣️,2026-02-14 14:05:16
Jessie Lush,5,I love it I have been needing help with Spanish and this help a lot thank you,2026-02-14 14:04:52
truphena nicodemus,5,best place to learn,2026-02-14 14:04:36
Rama,5,it's very satisfing and cool like u learn languages just by playing,2026-02-14 14:03:24
Burhan Taj,5,it helps alot,2026-02-14 14:02:15
Qi Qiss,5,love it...its help bit by bit to remember everything..,2026-02-14 14:02:07
Sodko Sodoo,5,soooo good app,2026-02-14 14:02:02
Mehmet Ünal,4,Reklam çok fazla çıkıyor,2026-02-14 14:01:00
Shaurya Jain,5,"It's a really innovative and engaging app for all age-category people.. Highly recommended, with assured guarantee of full new-language within three months. Also, with a variety of diverse languages on offer, this app really cuts down on your unnecessary time wastage on unwanted reels and social media.. loving it👌",2026-02-14 14:00:58
Richa Kumar,5,Really helps me learn languages,2026-02-14 13:59:49
Khushboo Upadhyay,5,best english app,2026-02-14 13:59:07
Jawher Akhter,5,love the way they teach chess 😍💝🥰.,2026-02-14 13:58:40
Shiva Araghizadeh,4,l think pronunciation is not very good,2026-02-14 13:56:22
CHITHRA RAJAPPAN,1,it is okey but it is too lag,2026-02-14 13:55:58
Nirmala K,5,nice,2026-02-14 13:54:47
Duyanh Nguyen,5,good night I love duolingo,2026-02-14 13:54:28
Refa Nayla Lubis,1,ga suka ya aku ngerti awal awal tp pas udh di tengah tengah jadi gajelas. gaada penjelasan lg 😖😞,2026-02-14 13:53:48
Jack Mckay,5,awesome,2026-02-14 13:53:10
Amrita Sunar,5,"love it,this app",2026-02-14 13:52:24
Nicola Szczukocka,5,love,2026-02-14 13:52:17
Loyd McCormick,5,this has helped me so much in my math grade I used to have a c but now I have a a😁,2026-02-14 13:52:07
Gabriela,5,Great i learnt 2 more languages German and Polish,2026-02-14 13:51:00
Umar gms,4,👍👍👍👍👍👍,2026-02-14 13:49:50
Alex Mitov,5,I've learned Hiragana and Katakana in no time with Duo. Was fun and pretty effective. Thanks little bird,2026-02-14 13:49:43
Sima Pravin,5,v.good,2026-02-14 13:48:54
Krishna Maurya,4,it is very exciting to know the other language at simple as that me randomly get this app from my colleague you tell me you can learn the language by just playing some games and some task,2026-02-14 13:48:46
Tashvi Gupta,4,I cannot change what language I want to hear and that is the only problem I hope if I could change or remove languages as my choice and that is all and I am very thankful to Duolingo!!!,2026-02-14 13:48:09
Salma Farhan,5,good 👍,2026-02-14 13:47:56
Jancy Varghese,5,You can study language with this app in enjoying way,2026-02-14 13:47:32
Zain Mishaal,5,this is good is reading game,2026-02-14 13:46:25
Ehyan “346” Terira,1,I HATE THE EMAILS,2026-02-14 13:45:54
Samuel,5,awesome,2026-02-14 13:44:47
Matheus,5,is soy cool,2026-02-14 13:44:40
Caitlin,2,"the app works fine, the company values have changed in a shocking way. what once used to be an app that advertised free learning for everyone is now purely a money grab. it is often hard to even get 2 lessons in a day, as they have switched to an energy system that drains at random.",2026-02-14 13:43:28
Putul Barman,5,nice,2026-02-14 13:43:10
Shivam Kumar,5,𝕟𝕚𝕔𝕖 𝕒𝕡𝕡,2026-02-14 13:43:08
Mhd nowshad,5,"Duolingo is a fantastic language-learning app that's perfect for beginners and those looking to brush up on their skills. The app's gamified approach makes learning fun and engaging, with bite-sized lessons and interactive exercises that keep you motivated. You'll appreciate the clear pronunciation, listening exercises, and immediate feedback, which make the learning process feel practical and rewarding ¹ ²",2026-02-14 13:42:55
Junaid Sayed,4,good teacher 👍🏻,2026-02-14 13:42:10
Brian Huber,5,easy bite sized lessons.,2026-02-14 13:42:05
GRT Mezinator,3,mycket reklam,2026-02-14 13:39:28
Ernest Pobee,5,Best languages app so far,2026-02-14 13:39:16
PRITI KUMARI,5,it's very nice app for education 🙂,2026-02-14 13:38:47
Tutumoni Kalita,5,Duolingo is very good for learning languages. But my personal favourite is Duolingo chess.,2026-02-14 13:37:47
Don Martins,4,Very good learning app,2026-02-14 13:36:56
MD Sumon Mizi,5,good forever,2026-02-14 13:34:34
Leandro Y,3,love it,2026-02-14 13:34:30
Priya Rani,5,very funny app recommended 100% makes learning very fun.,2026-02-14 13:33:26
Krishna Yadav,5,Mind blowing 😁😁 I love it 🤩🤩,2026-02-14 13:33:26
Daniyan danjola,1,very useless why will you run out of energy and have to pay money to get more it is a big waste of time,2026-02-14 13:32:15
Vutu Saha,5,is a good 😊😊 😊😊 this is best Duo 😊😊,2026-02-14 13:31:38
ARINA,5,I love this application,2026-02-14 13:31:22
Runako Mrewa,5,this app is Fine👍,2026-02-14 13:30:20
Anshika,5,Duolingo are best,2026-02-14 13:30:07
arun raj arun,5,best teaching methods thank Duolingo,2026-02-14 13:28:07
Richard Delfosse,5,really helps when learning languages,2026-02-14 13:27:56
Ragni v Tiwari,4,it's too better for learning English,2026-02-14 13:26:23
Anshu bhai,5,perfect for mee,2026-02-14 13:26:06
n,1,SCARY AF IF U DOWNLOAD IT PLEASEEEE DINT ENABLE NOTIFS 🥀,2026-02-14 13:25:46
Khan Rhoda,3,good learning app but I hate how the icon is now it makes my skin crawl and I'm thinking if deleting the app bcz of that,2026-02-14 13:25:04
hemaitullah Khan,5,nice,2026-02-14 13:24:48
Rose Tetan,4,pls change the cover photo Duo. it's irritating my son,2026-02-14 13:24:45
Liana Bagheri,5,I love Duolingo it's the best app ever I love you Duolingo five stars for me,2026-02-14 13:24:08
Nisadi Sanjeewani Pohoramawa Arachchilage,5,"In my opinion, this is a great app where anyone can learn any language and enjoy the learning process. It is very enjoyable and very helpful for learning languages.",2026-02-14 13:23:54
Siarlua Songneikip,5,amazing,2026-02-14 13:23:50
Kevin Mei,5,Duolingo Ti Impara A Studiare Le Lingue Anche Matematica Musica e Scacchi SCARICATELO SUBITO E GRATIS,2026-02-14 13:23:45
Nabin Bhatta,5,very good,2026-02-14 13:22:45
Mimo Mondal,5,good,2026-02-14 13:22:43
Blossom Ezekwe,5,Amazing app ❤️🔥,2026-02-14 13:21:56
Ketania Morgan-Reid,5,I love learning Spanish more and u don't have to press free trial or pay if u practice enough it'll give u membership stuff for a few days then a free trial n if u don't want to do it u don't have to pay so its free!,2026-02-14 13:21:14
Dhan Bahadur,5,I like this app,2026-02-14 13:19:53
Yara Said,5,"This is the best learning app ever, I tried learning Spanish and trust me its amazing. Best thing is the widgets, they are Soo funny and nice. Best app ever 💯😁👍",2026-02-14 13:18:25
Mira Samer,1,عندما انتهي من الدرس يخرج من التطبيق و اعيد الدرس من جديد و يأخذ نقاطي أيضا,2026-02-14 13:18:10
Marcan Gül,5,vey good 👍,2026-02-14 13:17:06
Алексей,1,don't work. lenovo y700,2026-02-14 13:15:50
Loretta Norah Pierre,1,"I am so sick of doing HANZI. Make it optional, I am not the only one",2026-02-14 13:15:29
Miguel Mbatha,5,It taught me Spanish I love it,2026-02-14 13:15:21
Vladimirs Bekasovs,5,I think it actually teaches us espanol,2026-02-14 13:14:32
somnath chaure,5,this is very good app for children,2026-02-14 13:13:49
Jahanzaib Khan,5,excellent,2026-02-14 13:12:53
Appu,4,it's so good 😊 it's like a game,2026-02-14 13:12:42
Sanket Wadekar,5,best learning,2026-02-14 13:11:10
Hassan Osseely,4,"it's an amazing app, the only negative thing about it is the ages, at my age I'm not good remembering stuff, not the app's fault",2026-02-14 13:09:51
hayblute paw,5,Duolingo makes it easy to learn new language ✨,2026-02-14 13:08:59
Familia Castillo Hernandez,1,"Much animación, pero eso que la aplicación se quede trabada y pierdas ejercicios. Lo cuál te hace perder rachas y afecta negativamente la experiencia del juego.",2026-02-14 13:08:54
Nasra Baraza,4,"awesome, Remind of my high french teacher",2026-02-14 13:08:14
Lotta Back,5,Uusi versio paras ja ruotsin esperanton ja Japanin opettelu ihanaa jos sulla ei oo tätä niin lataa,2026-02-14 13:06:45
Tharun Elumalai,5,make another section for guidance and add abacus in next update,2026-02-14 13:05:48
Miquela Jordan-Subritzky,1,The new energy system has rendered the app unusable without paying for a subscription. You cant even finish one lesson without having to spam so many ads that you spend more time watching ads than learning. It completely removes the reward pathways to learn and actually punishes you for continuing with lessons. I've uninstalled and won't be returning.,2026-02-14 13:05:42
Rochell Waldron,2,good learning app but I was at a 12 streak and it all just disappeared along with my 4000xp😡😡😡😡😡😡😡,2026-02-14 13:04:17
Karunakaran Govindarajan,5,clear understanding,2026-02-14 13:03:59
Jai Surya,4,I'll love it,2026-02-14 13:03:44
مرتضی فروغی,5,good,2026-02-14 13:02:49
Jayawanta tanaji Umbare,1,very good aap for education,2026-02-14 13:02:38
nithu biswas,5,best to learn foreign languages,2026-02-14 13:02:06
Nita Kumari Sinha,3,"it is awesome app for learn English but in some mobiles maths,music and chess like courses are available but not in my phone",2026-02-14 13:01:21
pradeep kumar,5,This is best app download now and learn chess,2026-02-14 13:01:11
Haripriya S,5,this good,2026-02-14 13:00:38
Aileen Zimmermann,4,"Cool App that repeats the things you are struggling with and makes it fun to learn a language and stay motivated. If you want to seriously learn a language though, then this only a playful game for the side. The free version is not so great in my eyes though and the payed version is too expensive! What is that?",2026-02-14 13:00:04
Joy Willson,5,It's the best way to learn without stuttering and having bad conversations with others,2026-02-14 12:56:43
Rod Stagman,5,it definitely helps with consistent learning. really enjoy it,2026-02-14 12:55:38
Mona Sharma,5,It helped me a lot,2026-02-14 12:55:29
JUAN JAHNSEN,5,duo lingo is the best!,2026-02-14 12:55:13
Anil Kashyap,5,its to good app 😄,2026-02-14 12:55:09
Tanya Srivastava,1,"If it is free, then why is it asking for the payment? Why is it not letting me move to the next stages if I'm denying payment? It is continuously forcing me to claim 1 week free trial, that means I have to pay once my trial ends up. Disgusting!!",2026-02-14 12:54:35
Nisha Shan,5,it is very useful,2026-02-14 12:54:30
Priyanka,5,bahut mast,2026-02-14 12:53:47
Raúl Pineda,1,"I don't give negative stars cause I can't, the new energy system is so bad I can't even play more than 2 levels because I don't have enough energy batteries",2026-02-14 12:53:05
Moumita Biswas,2,"I am very sorry to say that this app contains many ads . When one lesson is completed, ads come.",2026-02-14 12:52:33
Aura Sirithan Boontapet,5,"I've already studied, and there are no additional lessons for English.",2026-02-14 12:51:41
Cyries Adoyo,1,"To be honest, it's sincerely annoying when the battery keeps running out but the one I experienced is the worst. I got scammed for 450 gems, wasting my effort. I was playing chess through lessons but when I got to the final situation, my battery ran out. I got frustrated and decided to buy 25 batteries. It was normal at first albeit when I finished my lesson, my batteries are all gone. I am so furious that I gave the lowest rate for Duolingo. Hope you fix the error. Sincerely, unknown player.",2026-02-14 12:49:55
Dana Altarrah,5,"amazing , xjkowjrhshrrydhshsusus 🥰",2026-02-14 12:48:04
Kavita Veer,5,best english Way,2026-02-14 12:46:05
Oluwa Busayo,5,i love it,2026-02-14 12:44:46
Kusum Indora,5,it's very useful so good app for learning english speaking,2026-02-14 12:44:40
